"행정구역","2020년01월_거주자 인구수","2020년01월_세대수","2020년01월_세대당 인구","2020년01월_남자 인구수","2020년01월_여자 인구수","2020년01월_남여 비율","2020년02월_거주자 인구수","2020년02월_세대수","2020년02월_세대당 인구","2020년02월_남자 인구수","2020년02월_여자 인구수","2020년02월_남여 비율","2020년03월_거주자 인구수","2020년03월_세대수","2020년03월_세대당 인구","2020년03월_남자 인구수","2020년03월_여자 인구수","2020년03월_남여 비율","2020년04월_거주자 인구수","2020년04월_세대수","2020년04월_세대당 인구","2020년04월_남자 인구수","2020년04월_여자 인구수","2020년04월_남여 비율"
"대구광역시 북구 (2723000000)","434,479","177,790","          2.44","216,383","218,096","          0.99","433,820","177,886","          2.44","215,991","217,829","          0.99","434,166","178,816","          2.43","216,145","218,021","          0.99","434,265","179,728","          2.42","216,218","218,047","          0.99"
"대구광역시 북구 고성동(2723051000)","4,100","2,026","          2.02","2,029","2,071","          0.98","4,065","2,000","          2.03","2,004","2,061","          0.97","4,031","1,989","          2.03","1,985","2,046","          0.97","4,068","2,009","          2.02","1,997","2,071","          0.96"
"대구광역시 북구 칠성동(2723052600)","23,379","9,724","          2.40","11,322","12,057","          0.94","23,441","9,752","          2.40","11,340","12,101","          0.94","23,434","9,782","          2.40","11,345","12,089","          0.94","23,443","9,847","          2.38","11,338","12,105","          0.94"
"대구광역시 북구 침산1동(2723055000)","4,252","2,004","          2.12","2,258","1,994","          1.13","4,235","2,001","          2.12","2,248","1,987","          1.13","4,245","2,021","          2.10","2,258","1,987","          1.14","4,239","2,027","          2.09","2,256","1,983","          1.14"
"대구광역시 북구 침산2동(2723056000)","19,693","7,048","          2.79","9,553","10,140","          0.94","19,675","7,058","          2.79","9,519","10,156","          0.94","19,644","7,069","          2.78","9,511","10,133","          0.94","19,612","7,079","          2.77","9,485","10,127","          0.94"
"대구광역시 북구 침산3동(2723057000)","20,798","7,481","          2.78","10,078","10,720","          0.94","20,799","7,489","          2.78","10,077","10,722","          0.94","20,794","7,510","          2.77","10,061","10,733","          0.94","20,731","7,516","          2.76","10,040","10,691","          0.94"
"대구광역시 북구 산격1동(2723061000)","9,752","5,183","          1.88","4,854","4,898","          0.99","9,763","5,193","          1.88","4,862","4,901","          0.99","9,713","5,170","          1.88","4,825","4,888","          0.99","9,641","5,169","          1.87","4,785","4,856","          0.99"
"대구광역시 북구 산격2동(2723062000)","11,440","4,602","          2.49","5,658","5,782","          0.98","11,415","4,613","          2.47","5,654","5,761","          0.98","11,409","4,630","          2.46","5,642","5,767","          0.98","11,376","4,649","          2.45","5,619","5,757","          0.98"
"대구광역시 북구 산격3동(2723063000)","8,861","5,221","          1.70","4,574","4,287","          1.07","8,835","5,210","          1.70","4,557","4,278","          1.07","8,893","5,293","          1.68","4,581","4,312","          1.06","8,933","5,347","          1.67","4,594","4,339","          1.06"
"대구광역시 북구 산격4동(2723063100)","8,640","4,243","          2.04","4,516","4,124","          1.10","8,641","4,245","          2.04","4,514","4,127","          1.09","8,679","4,294","          2.02","4,536","4,143","          1.09","8,661","4,307","          2.01","4,515","4,146","          1.09"
"대구광역시 북구 대현동(2723064500)","18,505","8,752","          2.11","9,293","9,212","          1.01","18,414","8,723","          2.11","9,241","9,173","          1.01","18,471","8,811","          2.10","9,286","9,185","          1.01","18,480","8,896","          2.08","9,319","9,161","          1.02"
"대구광역시 북구 복현1동(2723067100)","7,219","4,214","          1.71","3,897","3,322","          1.17","7,254","4,260","          1.70","3,912","3,342","          1.17","7,345","4,359","          1.69","3,960","3,385","          1.17","7,423","4,455","          1.67","4,015","3,408","          1.18"
"대구광역시 북구 복현2동(2723067200)","27,834","10,246","          2.72","13,751","14,083","          0.98","27,741","10,239","          2.71","13,706","14,035","          0.98","27,683","10,274","          2.69","13,704","13,979","          0.98","27,662","10,340","          2.68","13,708","13,954","          0.98"
"대구광역시 북구 검단동(2723068000)","7,080","3,155","          2.24","3,553","3,527","          1.01","7,020","3,133","          2.24","3,519","3,501","          1.01","6,991","3,132","          2.23","3,503","3,488","          1.00","6,950","3,143","          2.21","3,471","3,479","          1.00"
"대구광역시 북구 무태조야동(2723069500)","28,874","11,659","          2.48","14,700","14,174","          1.04","28,841","11,682","          2.47","14,678","14,163","          1.04","29,398","11,910","          2.47","14,974","14,424","          1.04","30,035","12,171","          2.47","15,308","14,727","          1.04"
