"행정구역","2020년01월_거주자 인구수","2020년01월_세대수","2020년01월_세대당 인구","2020년01월_남자 인구수","2020년01월_여자 인구수","2020년01월_남여 비율","2020년02월_거주자 인구수","2020년02월_세대수","2020년02월_세대당 인구","2020년02월_남자 인구수","2020년02월_여자 인구수","2020년02월_남여 비율","2020년03월_거주자 인구수","2020년03월_세대수","2020년03월_세대당 인구","2020년03월_남자 인구수","2020년03월_여자 인구수","2020년03월_남여 비율","2020년04월_거주자 인구수","2020년04월_세대수","2020년04월_세대당 인구","2020년04월_남자 인구수","2020년04월_여자 인구수","2020년04월_남여 비율"
"대구광역시 달성군 (2771000000)","255,846","103,279","          2.48","129,945","125,901","          1.03","255,616","103,343","          2.47","129,808","125,808","          1.03","255,839","103,784","          2.47","129,887","125,952","          1.03","256,010","104,287","          2.45","129,975","126,035","          1.03"
"대구광역시 달성군 화원읍(2771025000)","48,975","18,785","          2.61","24,410","24,565","          0.99","48,825","18,764","          2.60","24,321","24,504","          0.99","48,769","18,829","          2.59","24,287","24,482","          0.99","48,608","18,866","          2.58","24,218","24,390","          0.99"
"대구광역시 달성군 논공읍(2771025300)","4,500","2,246","          2.00","2,450","2,050","          1.20","4,502","2,247","          2.00","2,454","2,048","          1.20","4,507","2,263","          1.99","2,460","2,047","          1.20","4,501","2,274","          1.98","2,454","2,047","          1.20"
"대구광역시 달성군 논공읍공단출장소(2771025400)","14,140","6,282","          2.25","7,428","6,712","          1.11","14,060","6,261","          2.25","7,398","6,662","          1.11","14,041","6,282","          2.24","7,393","6,648","          1.11","14,039","6,325","          2.22","7,391","6,648","          1.11"
"대구광역시 달성군 다사읍(2771025600)","51,198","18,680","          2.74","25,415","25,783","          0.99","51,156","18,690","          2.74","25,373","25,783","          0.98","51,188","18,764","          2.73","25,374","25,814","          0.98","51,147","18,793","          2.72","25,358","25,789","          0.98"
"대구광역시 달성군 다사읍서재출장소(2771025700)","38,797","14,242","          2.72","19,809","18,988","          1.04","38,687","14,239","          2.72","19,754","18,933","          1.04","38,699","14,281","          2.71","19,774","18,925","          1.04","38,674","14,307","          2.70","19,756","18,918","          1.04"
"대구광역시 달성군 유가읍(2771025900)","29,935","11,140","          2.69","15,108","14,827","          1.02","29,821","11,103","          2.69","15,025","14,796","          1.02","29,870","11,117","          2.69","15,052","14,818","          1.02","29,896","11,172","          2.68","15,075","14,821","          1.02"
"대구광역시 달성군 옥포읍(2771026200)","24,252","10,296","          2.36","12,281","11,971","          1.03","24,276","10,309","          2.35","12,301","11,975","          1.03","24,267","10,331","          2.35","12,281","11,986","          1.02","24,608","10,550","          2.33","12,457","12,151","          1.03"
"대구광역시 달성군 현풍읍(2771026500)","23,082","11,402","          2.02","12,087","10,995","          1.10","23,273","11,489","          2.03","12,187","11,086","          1.10","23,405","11,609","          2.02","12,235","11,170","          1.10","23,450","11,647","          2.01","12,239","11,211","          1.09"
"대구광역시 달성군 가창면(2771031000)","7,972","3,651","          2.18","3,967","4,005","          0.99","7,978","3,658","          2.18","3,977","4,001","          0.99","7,962","3,663","          2.17","3,964","3,998","          0.99","7,958","3,676","          2.16","3,967","3,991","          0.99"
"대구광역시 달성군 하빈면(2771033000)","3,735","1,960","          1.91","2,025","1,710","          1.18","3,734","1,966","          1.90","2,026","1,708","          1.19","3,721","1,966","          1.89","2,016","1,705","          1.18","3,696","1,974","          1.87","1,995","1,701","          1.17"
"대구광역시 달성군 구지면(2771038000)","9,260","4,595","          2.02","4,965","4,295","          1.16","9,304","4,617","          2.02","4,992","4,312","          1.16","9,410","4,679","          2.01","5,051","4,359","          1.16","9,433","4,703","          2.01","5,065","4,368","          1.16"
